,brand,age,name,abv,rating,No. rating,nose,taste,finish
166,Glenfarclas,,Oloroso Sherry Cask, 46%,4.3,81,['Sherry:100%'],"['Oak:100%', 'Sherry:100%']",['Sherry:100%']
167,Aberlour,16Y,Double Cask, 43%,4.1,81,"['Sweet:100%', 'Nuts:70%']","['Sweet:100%', 'Oak:80%']",['Spices:100%']
168,Suntory,,Hibiki Japanese Harmony Master's Select, 43%,3.9,81,"['Herbs:100%', 'Fruit:100%']","['Zitrus:100%', 'Sweet:100%']","['Oak:100%', 'Sweet:80%']"
169,Talisker,,Skye, 45.8%,3.4,81,"['Zitrus:100%', 'Orange:100%']","['Peat Smoke:100%', 'Sweet:70%']","['Spices:100%', 'Peat Smoke:100%']"
170,AnCnoc,12Y,, 40%,3.1,81,"['Sweet:100%', 'Fruit:80%']","['Sweet:100%', 'Fruit:90%']",['Spices:100%']
171,Dalmore,12Y,, 40%,3.6,80,"['Sweet:100%', 'Sherry:90%']","['Sherry:100%', 'Sweet:90%']","['Sweet:100%', 'Spices:100%']"
172,Ardbeg,,Alligator, 51.2%,4.7,79,"['Peat Smoke:100%', 'Nuts:50%']","['Sweet:100%', 'Malt:70%']","['Peat Smoke:100%', 'Spices:70%']"
173,Benriach,15Y,Dark Rum Wood Finish, 46%,3.7,78,"['Spices:100%', 'Sweet:100%']","['Sweet:100%', 'Spices:100%']","['Oak:100%', 'Spices:100%']"
174,Bruichladdich,,Scottish Barley, 50%,3.6,78,"['Malt:100%', 'Fruit:100%']","['Malt:100%', 'Oak:70%']",[]
175,Bruichladdich,,Sherry Classic, 46%,4.0,77,"['Fruit:100%', 'Sherry:100%']","['Oak:100%', 'Zitrus:90%']","['Peat Smoke:100%', 'Sherry:70%']"
176,Bruichladdich,12Y,, 46%,3.6,77,"['Fruit:100%', 'Nuts:60%']","['Sweet:100%', 'Malt:70%']","['Oak:100%', 'Spices:100%']"
177,Benriach,16Y,, 43%,3.5,77,['Sweet:100%'],['Sweet:100%'],[]
178,Lagavulin,,, 43%,4.8,76,"['Sweet:100%', 'Peat Smoke:100%']","['Maritime Notes:100%', 'Peat Smoke:100%']","['Peat Smoke:100%', 'Oak:70%']"
179,Talisker,,57° North, 57%,4.4,76,"['Peat Smoke:100%', 'Maritime Notes:40%']","['Chili:100%', 'Spices:100%']","['Spices:100%', 'Peat Smoke:90%']"
180,Talisker,10Y,, 45.8%,3.7,76,"['Peat Smoke:100%', 'Sweet:80%']","['Peat Smoke:100%', 'Malt:60%']","['Spices:100%', 'Sweet:90%']"
181,Wild Turkey,,101 Proof, 50.5%,3.6,76,"['Vanilla:100%', 'Sweet:100%']","['Sweet:100%', 'Vanilla:80%']",['Oak:100%']
182,Glenfarclas,13Y,Oloroso Sherry Cask, 46%,3.8,75,"['Sherry:100%', 'Fruit:80%']","['Sweet:100%', 'Sherry:90%']",['Sherry:100%']
183,Pulteney,12Y,, 40%,3.4,74,"['Maritime Notes:100%', 'Fruit:100%']","['Maritime Notes:100%', 'Malt:100%']","['Maritime Notes:100%', 'Oak:90%']"
184,Glendronach,15Y,Tawny Port, 46%,4.3,73,"['Fruit:100%', 'Zitrus:80%']","['Sweet:100%', 'Fruit:90%']",[]
185,Ardbeg,,An Oa, 46.6%,3.9,73,['Peat Smoke:100%'],"['Sweet:100%', 'Peat Smoke:100%']","['Peat Smoke:100%', 'Sweet:70%']"
186,Tomintoul,16Y,, 40%,3.5,73,['Nuts:100%'],"['Nuts:100%', 'Sweet:90%']",['Malt:100%']
187,Highland Park,12Y,Viking Honour, 40%,3.9,72,"['Sweet:100%', 'Peat Smoke:100%']","['Sweet:100%', 'Oak:70%']","['Oak:100%', 'Peat Smoke:100%']"
188,Ben Nevis,10Y,, 46%,3.4,72,"['Nuts:100%', 'Sherry:100%']","['Nuts:100%', 'Oak:80%']","['Sweet:100%', 'Spices:90%']"
189,Talisker,18Y,, 45.8%,4.7,71,"['Fruit:100%', 'Peat Smoke:100%']","['Spices:100%', 'Peat Smoke:100%']","['Spices:100%', 'Sweet:60%']"
190,Kilchoman,4Y,Sanaig, 46%,4.1,71,"['Sweet:100%', 'Fruit:90%']","['Sweet:100%', 'Peat Smoke:100%']","['Peat Smoke:100%', 'Sweet:60%']"
191,Balvenie,12Y,Triple Cask, 40%,3.7,71,"['Sweet:100%', 'Sherry:40%']","['Sweet:100%', 'Oak:60%']","['Sweet:100%', 'Sherry:60%']"
192,Glen Grant,10Y,, 40%,3.0,71,['Fruit:100%'],['Nuts:100%'],['Malt:100%']
193,Famous Grouse,,, 40%,2.6,71,"['Oak:100%', 'Zitrus:70%']","['Spices:100%', 'Peat Smoke:100%']",[]
194,Lagavulin,16Y,, 43%,4.1,70,"['Peat Smoke:100%', 'Maritime Notes:60%']","['Maritime Notes:100%', 'Sweet:100%']",['Maritime Notes:100%']
195,Knockando,12Y,, 43%,2.8,70,"['Sweet:100%', 'Nuts:60%']","['Nuts:100%', 'Fruit:100%']",[]
196,Arran,14Y,, 46%,4.1,69,"['Sweet:100%', 'Fruit:100%']","['Fruit:100%', 'Sweet:100%']","['Sweet:100%', 'Spices:100%']"
197,Blair Athol,12Y,, 43%,3.8,69,"['Sweet:100%', 'Sherry:80%']",[],"['Sweet:100%', 'Sherry:60%']"
198,Glenmorangie,,Quinta Ruban, 46%,4.2,68,[],"['Oil:100%', 'Nuts:100%']",[]
199,Benromach,10Y,, 43%,3.9,68,"['Peat Smoke:100%', 'Sweet:70%']","['Peat Smoke:100%', 'Fruit:70%']","['Peat Smoke:100%', 'Spices:70%']"
200,Bunnahabhain,,Darach Ur, 46.3%,3.5,68,"['Oak:100%', 'Sweet:100%']","['Oak:100%', 'Sweet:100%']",['Oak:100%']
201,Pulteney,12Y,, 40%,3.4,68,['Maritime Notes:100%'],"['Maritime Notes:100%', 'Nuts:80%']",['Maritime Notes:100%']
202,Tyrconnell,,, 40%,2.9,68,['Fruit:100%'],"['Malt:100%', 'Fruit:80%']",[]
203,Lagavulin,,, 43%,4.8,67,"['Maritime Notes:100%', 'Sherry:60%']","['Maritime Notes:100%', 'Herb:100%']","['Peat Smoke:100%', 'Sweet:70%']"
204,Port Charlotte,10Y,Heavily Peated, 46%,4.3,67,"['Peat Smoke:100%', 'Herbs:60%']","['Peat Smoke:100%', 'Malt:50%']","['Sweet:100%', 'Peat Smoke:100%']"
205,Ardbeg,,Ardbog, 52.1%,4.2,67,"['Peat Smoke:100%', 'Maritime Notes:40%']","['Salt:100%', 'Maritime Notes:100%']","['Sweet:100%', 'Peat Smoke:100%']"
206,Glengoyne,15Y,, 43%,3.9,67,"['Zitrus:100%', 'Sweet:100%']","['Nuts:100%', 'Sweet:100%']","['Oak:100%', 'Sweet:90%']"
207,Blanton's,,Original, 46.5%,3.9,67,"['Sweet:100%', 'Zitrus:50%']","['Sweet:100%', 'Oak:80%']",[]
208,Arran,14Y,, 46%,3.7,67,"['Fruit:100%', 'Sweet:100%']","['Sweet:100%', 'Fruit:70%']","['Spices:100%', 'Maritime Notes:90%']"
209,Bruichladdich,,Waves, 46%,3.4,67,"['Maritime Notes:100%', 'Herbs:90%']","['Peat Smoke:100%', 'Maritime Notes:60%']",[]
210,Bushmills,10Y,, 40%,3.1,67,"['Sweet:100%', 'Honey:80%']","['Sweet:100%', 'Oak:60%']","['Spices:100%', 'Nuts:90%']"
211,Glen Garioch,15Y,Sherry Cask, 53.7%,4.6,66,"['Fruit:100%', 'Spices:80%']","['Sweet:100%', 'Sherry:90%']",['Sherry:100%']
212,Ballechin,10Y,, 46%,4.1,66,"['Peat Smoke:100%', 'Sherry:40%']","['Peat Smoke:100%', 'Sweet:70%']",['Peat Smoke:100%']
213,Buffalo Trace,,, 40%,3.4,66,"['Vanilla:100%', 'Sweet:100%']","['Sweet:100%', 'Oak:70%']",[]
214,Bulleit,,95 Rye, 45%,3.4,66,"['Spices:100%', 'Sweet:90%']","['Spices:100%', 'Sweet:80%']","['Malt:100%', 'Wheat:90%']"
215,Bulleit,,Bourbon, 45%,3.4,65,"['Sweet:100%', 'Spices:60%']","['Sweet:100%', 'Spices:100%']",['Spices:100%']
216,Glenfiddich,18Y,Small Batch Reserve, 40%,4.0,64,"['Apple:100%', 'Fruit:100%']","['Oak:100%', 'Fruit:100%']","['Oak:100%', 'Sherry:80%']"
217,Tomatin,14Y,Port Wood Finish, 46%,3.9,64,"['Sweet:100%', 'Fruit:100%']","['Fruit:100%', 'Oak:60%']","['Fruit:100%', 'Sherry:60%']"
218,Port Charlotte,,Scottish Barley, 50%,3.6,64,"['Peat Smoke:100%', 'Maritime Notes:50%']","['Peat Smoke:100%', 'Oak:50%']",['Peat Smoke:100%']
219,Wild Turkey,,Rare Breed, 54.1%,4.1,63,"['Spices:100%', 'Oak:60%']","['Spices:100%', 'Herb:60%']",['Spices:100%']
220,Eagle Rare,10Y,, 45%,4.0,63,"['Sweet:100%', 'Oak:60%']","['Sweet:100%', 'Oak:70%']",['Spices:100%']
221,Arran,10Y,, 46%,3.6,63,"['Fruit:100%', 'Sweet:90%']","['Oak:100%', 'Sweet:100%']","['Oak:100%', 'Spices:80%']"
222,Lagavulin,,Double Matured, 43%,4.8,62,[],"['Sweet:100%', 'Sherry:100%']",[]
223,Tomatin,,Cù Bòcan, 46%,3.6,62,"['Peat Smoke:100%', 'Fruit:80%']","['Spices:100%', 'Sweet:80%']","['Peat Smoke:100%', 'Sweet:70%']"
224,Benriach,12Y,, 43%,3.4,62,"['Honey:100%', 'Sweet:100%']","['Sweet:100%', 'Honey:80%']","['Nuts:100%', 'Spices:100%']"
225,Auchroisk,15Y,, 46%,3.3,62,"['Fruit:100%', 'Oak:50%']","['Oak:100%', 'Sweet:100%']",[]
226,Lagavulin,,, 43%,4.8,61,"['Peat Smoke:100%', 'Sweet:70%']","['Oak:100%', 'Peat Smoke:100%']",['Peat Smoke:100%']
227,Tomatin,18Y,, 46%,3.8,61,"['Sweet:100%', 'Fruit:100%']","['Oak:100%', 'Sweet:90%']","['Sweet:100%', 'Sherry:50%']"
228,Caol Ila,,Moch, 43%,3.6,61,['Peat Smoke:100%'],"['Peat Smoke:100%', 'Maritime Notes:60%']",[]
229,Suntory,18Y,Yamazaki, 43%,4.8,60,['Sherry:100%'],"['Fruit:100%', 'Oak:80%']",[]
230,Glenmorangie,12Y,Nectar d'Or, 46%,4.0,60,['Sweet:100%'],"['Sweet:100%', 'Spices:90%']","['Sweet:100%', 'Sherry:40%']"
231,Lagavulin,8Y,Limited Edition, 48%,3.9,60,"['Maritime Notes:100%', 'Peat Smoke:100%']","['Peat Smoke:100%', 'Maritime Notes:30%']","['Peat Smoke:100%', 'Maritime Notes:40%']"
232,Glenlivet,21Y,Archive Wooden Case, 43%,4.7,59,"['Oak:100%', 'Sherry:100%']","['Oak:100%', 'Sweet:100%']",[]
233,Glenlivet,15Y,French Oak Reserve, 40%,3.5,59,"['Fruit:100%', 'Sweet:90%']","['Oak:100%', 'Sweet:100%']","['Oak:100%', 'Sweet:80%']"
234,Oban,14Y,, 43%,3.5,59,"['Fruit:100%', 'Peat Smoke:100%']","['Maritime Notes:100%', 'Peat Smoke:100%']",[]
235,Bunnahabhain,12Y,, 40%,3.4,59,"['Maritime Notes:100%', 'Sweet:100%']","['Nuts:100%', 'Maritime Notes:70%']",['Peat Smoke:100%']
236,Four Roses,,Yellow label, 40%,2.9,59,"['Sweet:100%', 'Oak:70%']","['Sweet:100%', 'Nuts:70%']",[]
237,Macallan,18Y,Fine Oak, 43%,4.6,58,"['Fruit:100%', 'Oak:80%']","['Sweet:100%', 'Malt:70%']",['Sweet:100%']
238,Laphroaig,,Quarter Cask, 48%,4.3,58,['Peat Smoke:100%'],"['Peat Smoke:100%', 'Sweet:80%']",['Peat Smoke:100%']
239,Ardbeg,,Blasda, 40%,3.5,58,"['Sweet:100%', 'Herbs:50%']","['Nuts:100%', 'Peat Smoke:100%']",[]
240,Dalwhinnie,15Y,, 43%,3.3,58,"['Sweet:100%', 'Fruit:80%']",['Sweet:100%'],['Sherry:100%']
241,Glen Garioch,,Founders Reserve, 48%,3.2,58,"['Sweet:100%', 'Zitrus:30%']","['Sweet:100%', 'Fruit:90%']","['Sweet:100%', 'Malt:80%']"
242,Jameson,,, 40%,2.6,58,[],"['Sweet:100%', 'Nuts:80%']",[]
243,Tullamore D.E.W.,,, 40%,2.2,58,"['Sweet:100%', 'Fruit:100%']","['Sweet:100%', 'Fruit:90%']",['Sweet:100%']
244,Talisker,,, 45.8%,4.5,57,"['Sweet:100%', 'Peat Smoke:100%']","['Malt:100%', 'Fruit:100%']","['Sweet:100%', 'Peat Smoke:90%']"
245,Jim Beam,4Y,Rye Yellow label, 40%,2.8,57,[''],[''],['']
246,Talisker,,, 45.8%,4.6,56,"['Peat Smoke:100%', 'Maritime Notes:50%']","['Spices:100%', 'Sherry:70%']","['Spices:100%', 'Maritime Notes:70%']"
247,Jura,10Y,Origin, 40%,3.2,56,[],"['Nuts:100%', 'Malt:80%']","['Malt:100%', 'Spices:80%']"
248,Four Roses,,Yellow label, 40%,3.1,56,[],['Sweet:100%'],[]
249,Bushmills,,Black Bush - Tin Case, 40%,3.1,56,"['Fruit:100%', 'Sherry:100%']","['Malt:100%', 'Sweet:80%']",['Malt:100%']
250,Glenlivet,18Y,, 43%,4.4,55,"['Sweet:100%', 'Oak:80%']",['Nuts:100%'],[]
251,Benromach,15Y,, 43%,4.3,55,"['Sweet:100%', 'Vanilla:90%']","['Fruit:100%', 'Oak:80%']","['Peat Smoke:100%', 'Spices:80%']"
252,Highland Park,,Dark Origins, 46.8%,3.7,55,"['Spices:100%', 'Sherry:100%']","['Peat Smoke:100%', 'Sweet:80%']",['Peat Smoke:100%']
253,Glengoyne,10Y,, 40%,3.5,55,"['Fruit:100%', 'Malt:70%']","['Malt:100%', 'Sweet:80%']",['Malt:100%']
254,Bruichladdich,,Peat, 46%,3.2,55,"['Peat Smoke:100%', 'Maritime Notes:30%']",['Peat Smoke:100%'],['Peat Smoke:100%']
255,Finlaggan,,The Original Peaty, 40%,2.8,55,['Peat Smoke:100%'],['Peat Smoke:100%'],[]
256,Dimple,15Y,, 40%,2.7,55,[''],[''],['']
257,Pulteney,21Y,, 46%,4.5,54,"['Fruit:100%', 'Zitrus:60%']","['Maritime Notes:100%', 'Sweet:100%']","['Maritime Notes:100%', 'Spices:100%']"
258,Redbreast,15Y,, 46%,4.1,54,"['Spices:100%', 'Fruit:100%']","['Oak:100%', 'Spices:100%']",[]
259,Benriach,15Y,Tawny Port Finish, 46%,4.1,53,"['Sweet:100%', 'Honey:80%']","['Fruit:100%', 'Oak:80%']","['Fruit:100%', 'Oak:70%']"
260,Amrut,,Fusion, 50%,3.5,53,"['Oak:100%', 'Sweet:100%']","['Fruit:100%', 'Sweet:90%']",[]
261,Cardhu,15Y,, 40%,3.9,52,"['Fruit:100%', 'Oak:60%']","['Herb:100%', 'Sweet:100%']",['Herb:100%']
262,Arran,,Amarone Cask Finish, 50%,3.8,52,[],['Fruit:100%'],[]
263,Big Peat,,, 46%,3.5,52,"['Peat Smoke:100%', 'Maritime Notes:40%']","['Peat Smoke:100%', 'Sweet:70%']",['Peat Smoke:100%']
264,Highland Park,,Einar, 40%,3.3,52,[],['Sweet:100%'],[]
265,Lagavulin,,, 43%,4.8,51,"['Sweet:100%', 'Peat Smoke:100%']","['Peat Smoke:100%', 'Sherry:70%']",[]
266,Macallan,,Ruby, 43%,4.6,51,['Sherry:100%'],"['Sherry:100%', 'Oak:80%']",[]
267,Macallan,12Y,, 43%,4.5,51,['Sherry:100%'],['Sherry:100%'],['Sherry:100%']
268,Aberlour,12Y,Double Cask, 43%,3.8,51,['Sherry:100%'],"['Sweet:100%', 'Fruit:90%']",['Sherry:100%']
269,Auchentoshan,18Y,, 43%,3.6,51,[],['Oak:100%'],['Spices:100%']
270,Glengoyne,10Y,, 40%,3.4,51,"['Fruit:100%', 'Sweet:90%']","['Malt:100%', 'Nuts:50%']",['Malt:100%']
271,Tomintoul,10Y,, 40%,3.2,51,[],[],['Malt:100%']
272,Kilbeggan,,Traditional, 40%,2.5,51,"['Sweet:100%', 'Malt:80%']",['Malt:100%'],[]
273,Caol Ila,25Y,, 43%,4.7,50,['Peat Smoke:100%'],"['Peat Smoke:100%', 'Sweet:70%']",['Peat Smoke:100%']
274,Wild Turkey,,Rare Breed, 56.4%,4.2,50,"['Spices:100%', 'Sweet:100%']","['Orange:100%', 'Zitrus:100%']",[]
275,Octomore,5Y,06.1 Scottish Barley, 57%,4.2,50,[],['Peat Smoke:100%'],[]
276,Dalmore,15Y,The Fifteen, 40%,4.1,50,['Sherry:100%'],"['Spices:100%', 'Sherry:60%']",[]
277,Arran,,Amarone Cask Finish, 50%,4.0,50,['Fruit:100%'],"['Fruit:100%', 'Sweet:90%']","['Sweet:100%', 'Fruit:80%']"
278,Bowmore,,Small Batch, 40%,3.6,50,"['Sweet:100%', 'Peat Smoke:100%']","['Peat Smoke:100%', 'Sweet:70%']","['Peat Smoke:100%', 'Sweet:80%']"
279,Glen Els,,The Journey, 43%,3.5,50,"['Sweet:100%', 'Sherry:80%']","['Sweet:100%', 'Fruit:90%']",['Spices:100%']
280,Glenlivet,,Master Distiller's Reserve, 40%,3.2,50,"['Fruit:100%', 'Pear:80%']","['Pear:100%', 'Fruit:100%']",['Nuts:100%']
281,Talisker,,, 45.8%,4.5,49,"['Sweet:100%', 'Peat Smoke:100%']","['Peat Smoke:100%', 'Maritime Notes:50%']","['Peat Smoke:100%', 'Spices:80%']"
282,Craigellachie,13Y,, 46%,3.7,49,"['Fruit:100%', 'Zitrus:60%']","['Spices:100%', 'Fruit:80%']",['Spices:100%']
283,Laphroaig,,QA Cask, 40%,3.6,49,['Peat Smoke:100%'],"['Peat Smoke:100%', 'Oak:60%']","['Sweet:100%', 'Peat Smoke:100%']"
284,Johnnie Walker,15Y,Green label in Wooden Case, 43%,3.5,49,"['Spices:100%', 'Peat Smoke:100%']",['Oak:100%'],[]
285,Glenmorangie,10Y,The Original, 40%,3.2,49,"['Sweet:100%', 'Fruit:100%']",['Sweet:100%'],['Nuts:100%']
286,Auchentoshan,,Heartwood, 43%,3.2,49,['Sherry:100%'],"['Fruit:100%', 'Malt:80%']",[]
287,Bunnahabhain,12Y,, 46.3%,4.2,48,"['Sweet:100%', 'Sherry:90%']","['Sherry:100%', 'Sweet:90%']","['Sweet:100%', 'Spices:100%']"
288,Ardbeg,,Perpetuum, 47.4%,3.9,48,"['Nuts:100%', 'Sweet:100%']","['Peat Smoke:100%', 'Chocolate:60%']",[]
289,Glenmorangie,12Y,Lasanta, 46%,3.9,48,['Sherry:100%'],"['Nuts:100%', 'Sherry:100%']",['Sherry:100%']
290,Clynelish,14Y,, 46%,3.3,48,['Maritime Notes:100%'],[],[]
291,Macallan,10Y,Fine Oak, 40%,3.3,48,[],"['Fruit:100%', 'Oak:90%']",['Oak:100%']
292,Glenkinchie,12Y,, 43%,3.1,48,"['Sweet:100%', 'Malt:70%']","['Sweet:100%', 'Malt:80%']",[]
293,Amrut,,Single Malt, 46%,3.0,48,['Sweet:100%'],"['Sweet:100%', 'Oak:70%']","['Oak:100%', 'Sweet:100%']"
294,Famous Grouse,,, 40%,2.4,48,"['Malt:100%', 'Peat Smoke:100%']",['Sweet:100%'],[]
295,Glenfiddich,19Y,Age of Discovery Madeira, 40%,4.2,47,"['Fruit:100%', 'Sherry:80%']","['Fruit:100%', 'Spices:90%']",['Spices:100%']
296,Aberlour,15Y,Marie d'Ecosse, 43%,3.9,47,['Sweet:100%'],[],"['Oak:100%', 'Spices:100%']"
297,Basil Hayden's,8Y,, 40%,3.7,47,['Sweet:100%'],['Malt:100%'],['Spices:100%']
298,Jura,16Y,, 40%,3.5,47,[],"['Salt:100%', 'Maritime Notes:100%']",[]
299,Chivas Regal,18Y,, 40%,3.4,47,"['Fruit:100%', 'Sweet:100%']","['Sweet:100%', 'Peat Smoke:80%']",[]
300,Speyburn,10Y,, 40%,3.0,47,['Sweet:100%'],['Malt:100%'],['Oak:100%']
301,Ardbeg,,Galileo, 49%,4.3,46,['Peat Smoke:100%'],"['Sweet:100%', 'Peat Smoke:100%']","['Fruit:100%', 'Sweet:100%']"
302,Glenmorangie,12Y,Quinta Ruban, 46%,4.0,46,"['Sweet:100%', 'Fruit:100%']","['Fruit:100%', 'Nuts:80%']","['Sweet:100%', 'Nuts:90%']"
303,Glengoyne,18Y,, 43%,4.0,46,"['Sweet:100%', 'Fruit:100%']","['Sherry:100%', 'Sweet:80%']","['Nuts:100%', 'Oak:70%']"
304,Glen Moray,16Y,, 40%,3.5,46,"['Malt:100%', 'Sweet:100%']","['Malt:100%', 'Sweet:100%']",[]
305,Greenore,8Y,Single Grain, 40%,2.7,46,"['Sweet:100%', 'Oak:70%']","['Malt:100%', 'Oak:80%']",[]
306,Grant's,3Y,The Family Reserve, 40%,2.0,46,[''],[''],['']
307,Lagavulin,,, 43%,4.8,45,"['Spices:100%', 'Peat Smoke:100%']",['Peat Smoke:100%'],['Peat Smoke:100%']
308,Lagavulin,,Distillers Edition, 43%,4.4,45,"['Peat Smoke:100%', 'Sherry:70%']","['Sweet:100%', 'Peat Smoke:100%']","['Peat Smoke:100%', 'Herb:80%']"
309,Glenmorangie,12Y,Nectar d'Or, 46%,4.3,45,"['Zitrus:100%', 'Spices:100%']","['Nuts:100%', 'Sweet:100%']","['Sweet:100%', 'Spices:90%']"
310,Laphroaig,10Y,, 40%,4.2,45,"['Maritime Notes:100%', 'Peat Smoke:100%']","['Maritime Notes:100%', 'Peat Smoke:100%']",[]
311,Glengoyne,17Y,, 43%,4.0,45,"['Sherry:100%', 'Fruit:90%']","['Fruit:100%', 'Oak:70%']",['Oak:100%']
312,Benriach,17Y,Septendecim, 46%,3.9,45,"['Peat Smoke:100%', 'Nuts:60%']","['Peat Smoke:100%', 'Sweet:70%']","['Spices:100%', 'Peat Smoke:90%']"
313,Connemara,,Distillers Edition, 43%,3.8,45,['Peat Smoke:100%'],"['Peat Smoke:100%', 'Sherry:50%']",['Peat Smoke:100%']
314,Caol Ila,12Y,, 43%,3.6,45,"['Peat Smoke:100%', 'Maritime Notes:40%']","['Sweet:100%', 'Peat Smoke:100%']",['Peat Smoke:100%']
315,Green Spot,,, 40%,3.6,45,"['Fruit:100%', 'Malt:60%']","['Sweet:100%', 'Fruit:90%']","['Sweet:100%', 'Spices:70%']"
316,Glencadam,10Y,, 46%,3.4,45,[''],[''],['']
317,Kilchoman,,Machir Bay, 46%,3.4,45,"['Sweet:100%', 'Peat Smoke:100%']","['Sweet:100%', 'Peat Smoke:100%']",['Peat Smoke:100%']
318,Glen Moray,,Port Cask Finish, 40%,3.2,45,"['Fruit:100%', 'Sweet:90%']","['Fruit:100%', 'Spices:100%']","['Sweet:100%', 'Spices:70%']"
319,Glen Moray,12Y,, 40%,3.0,45,['Sweet:100%'],"['Sweet:100%', 'Spices:100%']","['Sweet:100%', 'Malt:70%']"
320,Talisker,,, 45.8%,4.6,44,[],['Peat Smoke:100%'],['Spices:100%']
321,Jameson,18Y,, 40%,4.5,44,"['Oak:100%', 'Sherry:90%']","['Nuts:100%', 'Sherry:90%']","['Spices:100%', 'Oak:90%']"
322,Laphroaig,,An Cuan Mòr, 48%,4.4,44,"['Peat Smoke:100%', 'Sweet:70%']","['Peat Smoke:100%', 'Spices:90%']","['Peat Smoke:100%', 'Sweet:80%']"
323,Säntis Malt,,Edition Dreifaltigkeit, 52%,4.1,44,['Peat Smoke:100%'],"['Herbs:100%', 'Peat Smoke:100%']",['Peat Smoke:100%']
324,Arran,,Port Cask Finish, 50%,4.0,44,"['Spices:100%', 'Sweet:100%']","['Fruit:100%', 'Spices:100%']",['Spices:100%']
325,Knockando,18Y,Slow Matured, 43%,3.5,44,[],['Nuts:100%'],[]
326,Connemara,,Cask Strength, 57.9%,3.4,44,['Zitrus:100%'],"['Peat Smoke:100%', 'Sweet:70%']",['Peat Smoke:100%']
327,Littlemill,12Y,, 40%,3.3,44,['Zitrus:100%'],[],[]
328,Auchentoshan,,Classic, 40%,2.8,44,['Sweet:100%'],"['Vanilla:100%', 'Sweet:100%']",[]
329,Jim Beam,6Y,Black, 43%,2.7,44,"['Sweet:100%', 'Spices:60%']","['Sweet:100%', 'Spices:100%']",['Malt:100%']
330,Crown Royal,,, 40%,2.7,44,['Sweet:100%'],"['Sweet:100%', 'Nuts:60%']",[]
331,Bushmills,,Original, 40%,2.1,44,['Malt:100%'],"['Sweet:100%', 'Malt:80%']",[]
332,Edradour,15Y,Fairy Flag, 46%,4.6,43,"['Fruit:100%', 'Sweet:80%']","['Chocolate:100%', 'Fruit:100%']","['Spices:100%', 'Sherry:90%']"
333,Glenfarclas,17Y,, 43%,4.0,43,"['Sherry:100%', 'Sweet:90%']","['Sherry:100%', 'Oak:80%']","['Malt:100%', 'Sherry:90%']"
334,Benriach,15Y,Madeira Finish, 46%,4.0,43,"['Sweet:100%', 'Spices:70%']","['Fruit:100%', 'Sweet:100%']",['Oak:100%']
335,Aberlour,12Y,Sherry Cask Matured, 40%,3.8,43,['Sherry:100%'],"['Fruit:100%', 'Sherry:60%']",['Sherry:100%']
336,Ben Nevis,15Y,, 46%,3.5,43,"['Malt:100%', 'Sherry:100%']","['Spices:100%', 'Oak:50%']","['Spices:100%', 'Sherry:80%']"
337,Jameson,,Select Reserve Black Barrel, 40%,3.3,43,"['Sweet:100%', 'Vanilla:90%']","['Sweet:100%', 'Oak:70%']",[]
338,Jura,,Prophecy, 46%,3.5,42,"['Sweet:100%', 'Peat Smoke:100%']","['Peat Smoke:100%', 'Malt:60%']","['Peat Smoke:100%', 'Malt:70%']"
339,Jura,,Turas-Mara, 42%,3.5,42,['Fruit:100%'],['Fruit:100%'],[]
340,The Singleton of Dufftown,,Spey Cascade with Dose, 40%,3.1,42,"['Fruit:100%', 'Malt:50%']","['Fruit:100%', 'Nuts:70%']",[]
341,Johnnie Walker,,Double Black label, 40%,3.0,42,[],['Peat Smoke:100%'],[]
342,Bowmore,,Legend, 40%,3.0,42,"['Peat Smoke:100%', 'Maritime Notes:60%']","['Maritime Notes:100%', 'Peat Smoke:100%']","['Maritime Notes:100%', 'Peat Smoke:100%']"
343,1776,,Bourbon, 50%,3.5,41,"['Oak:100%', 'Vanilla:90%']","['Sweet:100%', 'Malt:60%']",[]
344,Bowmore,9Y,, 40%,3.5,41,"['Sherry:100%', 'Peat Smoke:100%']","['Sherry:100%', 'Peat Smoke:100%']","['Peat Smoke:100%', 'Sherry:40%']"
345,Glen Moray,10Y,Chardonnay, 40%,3.4,41,"['Fruit:100%', 'Spices:50%']","['Fruit:100%', 'Spices:100%']",[]
346,Glengoyne,10Y,, 40%,3.3,41,"['Fruit:100%', 'Sweet:90%']","['Sweet:100%', 'Malt:70%']",[]
347,Glenfarclas,19Y,Oloroso Sherry Cask, 46%,4.7,40,"['Fruit:100%', 'Sherry:100%']",[],"['Sweet:100%', 'Oak:80%']"
348,Aberlour,,a'bunadh Batch 49, 60.1%,4.5,40,[],['Fruit:100%'],['Sherry:100%']
349,Glenmorangie,,Finealta, 46%,4.0,40,[''],[''],['']
350,Glen Moray,15Y,, 40%,3.7,40,"['Sweet:100%', 'Fruit:100%']","['Sweet:100%', 'Nuts:70%']","['Oak:100%', 'Sweet:100%']"
351,Glenlivet,15Y,, 40%,3.5,40,"['Fruit:100%', 'Oak:70%']",[],[]
352,Bunnahabhain,,Eirigh Na Greine, 46.3%,3.4,40,"['Maritime Notes:100%', 'Nuts:100%']","['Fruit:100%', 'Nuts:90%']","['Spices:100%', 'Sherry:60%']"
